smiles,pIC50
OCCc1nccn1Cc1cn(-c2cc(F)cc(C(F)F)c2)nn1,6.866461091629463
OCCc1nccn1Cc1cn(-c2ccc(Cl)c(Cl)c2)nn1,7.764471553089926
OCCc1nccn1Cc1cn(-c2ccc(Cl)c(OC(F)F)c2)nn1,8.645891560833382
OCCc1nccn1Cc1cn(-c2ccc(F)c(C(F)F)c2)nn1,7.83863199776203
OCCc1nccn1Cc1cn(-c2ccc(F)c(OC(F)F)c2)nn1,8.370590400887087
OCCc1nccn1Cc1cn(-c2ccc(S(F)(F)(F)(F)F)cc2)nn1,6.580044251510078
OCc1nccn1Cc1cn(-c2ccc(Cl)cc2)nn1,6.241845378032535
CC(C)(C)Oc1cc(CCC(C)(C)N2Cc3c(F)ccc(F)c3C2)ccc1O,4.0
CC(C)(C)Oc1cc(CCC(C)(C)N2Cc3ccc(S(C)(=O)=O)cc3C2)ccc1O,4.58502665202918
CC(C)(C)Oc1cc(CCC(C)(C)N2Cc3cccc(C(=O)O)c3C2)ccc1O,4.0
CC(C)(C)Oc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1O,4.920818753952371
CC(C)(C)Oc1cc(CCC(C)(C)N2Cc3cccc(S(C)(=O)=O)c3C2)ccc1O,4.7212463990471685
CC(C)(CCc1ccc(F)cc1)N1Cc2ccc(F)cc2C1,6.886056647692829
CC(C)(CCc1ccc(F)cc1)N1Cc2cccc(F)c2C1,6.040958607678858
CC(C)(CCc1ccc(O)c(OC(F)(F)F)c1)N1Cc2c(F)ccc(F)c2C1,4.0
CC(C)(CCc1ccc(O)c(OC(F)(F)F)c1)N1Cc2ccc(S(C)(=O)=O)cc2C1,6.102372908709503
CC(C)(CCc1ccc(O)c(OC(F)(F)F)c1)N1Cc2cccc(C(=O)O)c2C1,4.309803919971485
CC(C)(CCc1ccc(O)c(OC(F)(F)F)c1)N1Cc2cccc(F)c2C1,5.602059991327945
CC(C)(CCc1ccc(O)c(OC(F)(F)F)c1)N1Cc2cccc(S(C)(=O)=O)c2C1,4.356547323513811
CC(C)COc1cc(CCC(C)(C)N2Cc3ccc(S(C)(=O)=O)cc3C2)ccc1O,6.244125144327432
CC(C)COc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1O,5.5528419686577655
CC(C)Oc1cc(CCC(C)(C)N2Cc3ccc(F)cc3C2)ccc1O,5.49485002168008
CC(C)Oc1cc(CCC(C)(C)N2Cc3ccc(S(C)(=O)=O)cc3C2)ccc1O,5.508638306165713
CC(C)Oc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1O,5.017728766960428
CC(C)Oc1cc(CC[C@@H](C)N2Cc3ccc(F)cc3C2)ccc1O,6.318758762624322
CC(C)Oc1cc(CC[C@@H](C)N2Cc3ccc(S(C)(=O)=O)cc3C2)ccc1O,5.022276394711147
CC(C)Oc1cc(CC[C@@H](C)N2Cc3cccc(F)c3C2)ccc1O,5.4317982759329935
CC(C)Oc1ccc(CCC(C)(C)N2Cc3ccc(F)cc3C2)cc1OC(C)C,6.096910013008002
CC(C)Oc1ccc(CC[C@@H](C)N2Cc3ccc(F)cc3C2)cc1OC(C)C,5.67778070526606
CC(C)Oc1ccc(CC[C@@H](C)N2Cc3cccc(F)c3C2)cc1OC(C)C,5.49485002168008
CN(C)C(=O)c1cccc2c1CN(C(C)(C)CCc1ccc(O)c(OC(C)(C)C)c1)C2,4.744727494896692
CN(C)C(=O)c1cccc2c1CN(C(C)(C)CCc1ccc(O)c(OC(F)(F)F)c1)C2,5.301029995663972
COCCN(C)C(=O)c1cccc2c1CN(C(C)(C)CCc1ccc(O)c(OC)c1)C2,5.292429823902055
COCCNC(=O)c1cccc2c1CN(C(C)(C)CCc1ccc(O)c(OC)c1)C2,5.180456064458125
COC[C@H](CCc1ccc(Cl)c(Cl)c1)N1Cc2ccc(F)cc2C1,5.795880017344048
COc1cc(CCC(C)(C)N2Cc3ccc(F)cc3C2)ccc1OC(=O)N(C)C,5.356547323513803
COc1cc(CCC(C)(C)N2Cc3ccc(F)cc3C2)ccc1OCCO,6.657577319177596
COc1cc(CCC(C)(C)N2Cc3cccc(C(=O)N(C)CCN(C)C)c3C2)ccc1O,4.999999999999996
COc1cc(CCC(C)(C)N2Cc3cccc(C(=O)N(C)CCO)c3C2)ccc1O,4.481486060122111
COc1cc(CCC(C)(C)N2Cc3cccc(C(=O)NCCN(C)C)c3C2)ccc1O,3.9586073148417746
COc1cc(CCC(C)(C)N2Cc3cccc(C(=O)NCCO)c3C2)ccc1O,4.958607314841771
COc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1O,5.5528419686577655
COc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1OC(=O)N(C)C,5.214670164989226
COc1cc(CCC(C)(C)N2Cc3cccc(F)c3C2)ccc1OCCO,7.004364805402012
COc1cc(CCC(C)(C)N2Cc3cccc(S(C)(=O)=O)c3C2)ccc1O,4.698970004336017
COc1cc(CC[C@@H](C)N2Cc3ccc(C(F)(F)F)cc3C2)ccc1O,6.148741651280863
COc1cc(CC[C@@H](C)N2Cc3ccc(Cl)cc3C2)ccc1O,6.3665315444203125
COc1cc(CC[C@@H](C)N2Cc3ccc(F)cc3C2)ccc1O,5.619788758288376
COc1cc(CC[C@@H](C)N2Cc3ccc(F)cc3C2)ccc1OCCO,5.327902142064273
COc1cc(CC[C@@H](C)N2Cc3ccc(S(C)(=O)=O)cc3C2)ccc1O,4.366531544420412
COc1cc(CC[C@@H](C)N2Cc3cccc(F)c3C2)ccc1O,5.154901959985737
COc1cc(CC[C@@H](C)N2Cc3cccc(F)c3C2)ccc1OCCO,5.920818753952339
COc1cc(CC[C@@H](C)N2Cc3cccc(S(C)(=O)=O)c3C2)ccc1O,4.58502665202918
COc1cc2c(cc1OC)CN(C(C)(C)CCc1ccc(F)cc1)C2,7.823908740941423
COc1cc2c(cc1OC)CN(C(C)(C)CCc1ccc(OCCO)c(OC)c1)C2,5.769551078621701
COc1cc2c(cc1OC)CN([C@@H](C)CCc1ccc(Cl)c(Cl)c1)C2,6.180456064458065
COc1cc2c(cc1OC)CN([C@H](C)CCc1ccc(Cl)c(Cl)c1)C2,6.537602002100894
C[C@H](CCc1ccc(Cl)c(Cl)c1)N1Cc2cccc(F)c2C1,5.173925197299167
C[C@H](CCc1ccc(F)cc1)N1Cc2ccc(F)cc2C1,6.4559319556496
C[C@H](CCc1ccc(F)cc1)N1Cc2cccc(F)c2C1,4.823908740944316
C[C@H](CCc1ccc(O)c(OC(C)(C)C)c1)N1Cc2c(F)ccc(F)c2C1,4.0
